0_true_peaked_normalised_acc,1_true_peaked_normalised_acc,2_true_peaked_normalised_acc,3_true_peaked_normalised_acc,4_true_peaked_normalised_acc,5_true_peaked_normalised_acc,6_true_peaked_normalised_acc,7_true_peaked_normalised_acc
[0.44364937388193204],[0.4221824686940966],[0.44543828264758495],[0.4937388193202147],[0.4293381037567084],[0.38461538461538464],[0.4221824686940966],[0.38640429338103754]
[0.5523465703971119],[0.575812274368231],[0.4693140794223827],[0.48375451263537905],[0.5],[0.5018050541516246],[0.4602888086642599],[0.4855595667870036]
[0.5901639344262295],[0.599271402550091],[0.6466302367941712],[0.6265938069216758],[0.5883424408014571],[0.5938069216757741],[0.6557377049180327],[0.599271402550091]
[0.5845588235294118],[0.5790441176470589],[0.6488970588235294],[0.6507352941176471],[0.5680147058823529],[0.5808823529411765],[0.5827205882352942],[0.5808823529411765]
[0.6660482374768089],[0.6326530612244898],[0.6586270871985158],[0.6196660482374768],[0.6419294990723562],[0.6456400742115028],[0.6456400742115028],[0.640074211502783]
[0.6816479400749064],[0.6779026217228464],[0.6779026217228464],[0.7078651685393258],[0.6647940074906367],[0.6685393258426966],[0.6760299625468165],[0.6629213483146067]
[0.725897920604915],[0.718336483931947],[0.7353497164461248],[0.7315689981096408],[0.7372400756143668],[0.725897920604915],[0.7315689981096408],[0.7126654064272212]
[0.7080152671755725],[0.7099236641221374],[0.7118320610687023],[0.7270992366412213],[0.6984732824427481],[0.700381679389313],[0.7309160305343512],[0.7137404580152672]
[0.7321772639691715],[0.7263969171483622],[0.7341040462427746],[0.7398843930635838],[0.7283236994219653],[0.7418111753371869],[0.7321772639691715],[0.7167630057803468]
[0.7665369649805448],[0.77431906614786],[0.77431906614786],[0.7704280155642024],[0.7568093385214008],[0.7937743190661478],[0.7607003891050583],[0.7704280155642024]
[0.7956777996070727],[0.7838899803536346],[0.7976424361493124],[0.7760314341846758],[0.7858546168958742],[0.7799607072691552],[0.7858546168958742],[0.7838899803536346]
[0.44364937388193204],[0.4221824686940966],[0.44543828264758495],[0.4937388193202147],[0.4293381037567084],[0.38461538461538464],[0.4221824686940966],[0.38640429338103754]
[0.5523465703971119],[0.575812274368231],[0.4693140794223827],[0.48375451263537905],[0.5],[0.5018050541516246],[0.4602888086642599],[0.4855595667870036]
[0.6010928961748634],[0.6102003642987249],[0.604735883424408],[0.6065573770491803],[0.599271402550091],[0.5956284153005464],[0.6010928961748634],[0.6010928961748634]
[0.5900735294117647],[0.6158088235294118],[0.5827205882352942],[0.6176470588235294],[0.5588235294117647],[0.5551470588235294],[0.6580882352941176],[0.5882352941176471]
[0.6586270871985158],[0.6679035250463822],[0.673469387755102],[0.6753246753246753],[0.6697588126159555],[0.6641929499072357],[0.6586270871985158],[0.6623376623376623]
[0.6367041198501873],[0.6348314606741573],[0.6423220973782772],[0.6254681647940075],[0.6404494382022472],[0.6348314606741573],[0.6048689138576779],[0.6367041198501873]
[0.7126654064272212],[0.6729678638941399],[0.6899810964083176],[0.6918714555765595],[0.722117202268431],[0.6918714555765595],[0.667296786389414],[0.6899810964083176]
[0.7022900763358778],[0.7080152671755725],[0.700381679389313],[0.6889312977099237],[0.6965648854961832],[0.6870229007633588],[0.6755725190839694],[0.648854961832061]
[0.6416184971098265],[0.6859344894026975],[0.6897880539499036],[0.720616570327553],[0.6589595375722543],[0.6724470134874759],[0.6820809248554913],[0.6685934489402697]
