0_proba_max,1_proba_max,2_proba_max,3_proba_max,4_proba_max,5_proba_max,6_proba_max,7_proba_max,0_proba_diff,1_proba_diff,2_proba_diff,3_proba_diff,4_proba_diff,5_proba_diff,6_proba_diff,7_proba_diff
0.45,0.38,0.49,0.45,0.6,0.4,0.41,0.45,0.32,0.33,0.36,0.45,0.21,0.3,0.3,0.3
0.45,0.65,0.69,0.76,0.58,0.38,0.57,0.59,0.44,0.23,0.28,0.13,0.28,0.37,0.34,0.27
0.61,0.69,0.7,0.66,0.73,0.47,0.52,0.64,0.31,0.16,0.15,0.22,0.27,0.33,0.24,0.34
0.53,0.61,0.57,0.58,0.49,0.47,0.39,0.62,0.42,0.36,0.42,0.39,0.47,0.46,0.32,0.27
0.5,0.42,0.49,0.66,0.73,0.52,0.47,0.48,0.33,0.31,0.45,0.26,0.18,0.31,0.46,0.34
0.57,0.54,0.39,0.34,0.63,0.75,0.44,0.84,0.37,0.46,0.32,0.33,0.29,0.24,0.34,0.13
0.56,0.77,0.49,0.94,0.58,0.62,0.73,0.49,0.25,0.17,0.36,0.04,0.41,0.35,0.21,0.48
0.47,0.54,0.93,0.5,0.58,0.73,0.67,0.53,0.35,0.42,0.07,0.36,0.39,0.24,0.29,0.36
0.53,0.81,0.59,0.53,0.82,0.5,0.74,0.78,0.45,0.14,0.38,0.42,0.18,0.45,0.15,0.16
0.43,0.57,0.43,0.79,0.39,0.71,0.47,0.62,0.4,0.27,0.39,0.18,0.35,0.28,0.27,0.3
0.58,0.56,0.43,0.77,0.45,0.79,0.7,0.75,0.34,0.38,0.42,0.15,0.28,0.16,0.27,0.13
0.45,0.38,0.49,0.45,0.6,0.4,0.41,0.45,0.32,0.33,0.36,0.45,0.21,0.3,0.3,0.3
0.45,0.65,0.69,0.76,0.58,0.38,0.57,0.59,0.44,0.23,0.28,0.13,0.28,0.37,0.34,0.27
0.51,0.64,0.54,0.71,0.64,0.78,0.73,0.64,0.49,0.28,0.44,0.27,0.34,0.21,0.27,0.32
0.56,0.51,0.53,0.72,0.67,0.69,0.71,0.79,0.27,0.43,0.4,0.25,0.23,0.31,0.19,0.2
0.64,0.43,0.7,0.45,0.5,0.41,0.55,0.66,0.34,0.4,0.27,0.33,0.35,0.4,0.24,0.32
0.41,0.43,0.61,0.63,0.58,0.62,0.76,0.74,0.39,0.38,0.21,0.27,0.28,0.21,0.19,0.23
0.67,0.38,0.5,0.84,0.67,0.84,0.71,0.35,0.18,0.35,0.31,0.14,0.22,0.13,0.24,0.33
0.55,0.49,0.71,0.78,0.93,0.51,0.54,0.52,0.39,0.47,0.26,0.19,0.04,0.28,0.25,0.26
0.55,0.86,0.39,0.47,0.82,0.93,0.61,0.56,0.27,0.11,0.33,0.32,0.1,0.04,0.22,0.32
0.73,0.49,0.51,0.41,0.58,0.55,0.62,0.79,0.22,0.4,0.4,0.38,0.28,0.37,0.31,0.16
0.5,0.83,0.69,0.57,0.64,0.78,0.63,0.51,0.35,0.16,0.26,0.36,0.2,0.15,0.32,0.4
0.45,0.38,0.49,0.45,0.6,0.4,0.41,0.45,0.32,0.33,0.36,0.45,0.21,0.3,0.3,0.3
0.45,0.65,0.69,0.76,0.58,0.38,0.57,0.59,0.44,0.23,0.28,0.13,0.28,0.37,0.34,0.27
0.51,0.64,0.54,0.71,0.64,0.78,0.73,0.64,0.49,0.28,0.44,0.27,0.34,0.21,0.27,0.32
0.56,0.51,0.53,0.72,0.67,0.69,0.71,0.79,0.27,0.43,0.4,0.25,0.23,0.31,0.19,0.2
0.64,0.43,0.7,0.45,0.5,0.41,0.55,0.66,0.34,0.4,0.27,0.33,0.35,0.4,0.24,0.32
0.41,0.43,0.61,0.63,0.58,0.62,0.76,0.74,0.39,0.38,0.21,0.27,0.28,0.21,0.19,0.23
0.67,0.38,0.5,0.84,0.67,0.84,0.71,0.35,0.18,0.35,0.31,0.14,0.22,0.13,0.24,0.33
0.55,0.49,0.71,0.78,0.93,0.51,0.54,0.52,0.39,0.47,0.26,0.19,0.04,0.28,0.25,0.26
0.55,0.86,0.39,0.47,0.82,0.93,0.61,0.56,0.27,0.11,0.33,0.32,0.1,0.04,0.22,0.32
0.73,0.49,0.51,0.41,0.58,0.55,0.62,0.79,0.22,0.4,0.4,0.38,0.28,0.37,0.31,0.16
0.5,0.83,0.69,0.57,0.64,0.78,0.63,0.51,0.35,0.16,0.26,0.36,0.2,0.15,0.32,0.4
0.45,0.38,0.49,0.45,0.6,0.4,0.41,0.45,0.32,0.33,0.36,0.45,0.21,0.3,0.3,0.3
0.53,0.78,0.74,0.75,0.52,0.37,0.66,0.6,0.41,0.15,0.26,0.16,0.3,0.36,0.27,0.27
0.71,0.62,0.72,0.72,0.6,0.87,0.66,0.76,0.29,0.32,0.26,0.26,0.39,0.11,0.34,0.17
0.93,0.78,0.75,0.63,0.58,0.57,0.54,0.58,0.07,0.21,0.25,0.25,0.26,0.43,0.46,0.21
0.82,0.53,0.56,0.77,0.62,0.53,0.51,0.78,0.09,0.33,0.32,0.15,0.21,0.36,0.4,0.16
0.6,0.75,0.76,0.67,0.7,0.35,0.44,0.76,0.29,0.21,0.14,0.18,0.28,0.35,0.36,0.18
0.5,0.48,0.42,0.48,0.57,0.47,0.46,0.5,0.25,0.45,0.32,0.42,0.38,0.42,0.33,0.32
0.52,0.78,0.6,0.58,0.77,0.69,0.65,0.57,0.39,0.12,0.37,0.38,0.18,0.18,0.24,0.35
0.63,0.5,0.66,0.66,0.64,0.66,0.7,0.69,0.2,0.28,0.19,0.23,0.3,0.19,0.22,0.22
0.54,0.58,0.62,0.72,0.71,0.64,0.54,0.83,0.36,0.28,0.3,0.17,0.15,0.34,0.37,0.13
0.55,0.59,0.61,0.54,0.63,0.49,0.65,0.6,0.37,0.23,0.27,0.35,0.32,0.42,0.24,0.28
0.45,0.38,0.49,0.45,0.6,0.4,0.41,0.45,0.32,0.33,0.36,0.45,0.21,0.3,0.3,0.3
0.53,0.78,0.74,0.75,0.52,0.37,0.66,0.6,0.41,0.15,0.26,0.16,0.3,0.36,0.27,0.27
0.74,0.69,0.74,0.75,0.87,0.67,0.47,0.6,0.18,0.21,0.17,0.16,0.12,0.19,0.34,0.39
0.64,0.63,0.49,0.73,0.67,0.58,0.72,0.55,0.25,0.33,0.48,0.21,0.25,0.27,0.27,0.35
0.43,0.37,0.74,0.66,0.69,0.55,0.52,0.84,0.31,0.33,0.21,0.22,0.22,0.28,0.44,0.16
0.6,0.63,0.55,0.71,0.49,0.51,0.59,0.54,0.32,0.32,0.4,0.17,0.33,0.44,0.39,0.37
0.63,0.68,0.47,0.35,0.49,0.57,0.71,0.72,0.37,0.24,0.27,0.35,0.49,0.35,0.21,0.25
0.54,0.68,0.75,0.63,0.55,0.57,0.64,0.48,0.26,0.29,0.24,0.36,0.44,0.41,0.34,0.35
0.46,0.47,0.46,0.53,0.77,0.49,0.51,0.89,0.33,0.36,0.46,0.42,0.17,0.35,0.26,0.08
0.46,0.71,0.52,0.54,0.42,0.51,0.45,0.62,0.4,0.2,0.39,0.28,0.36,0.42,0.3,0.23
